orderId,date,price,side,origQty,cummulativeQuoteQty,status,commission,commissionAsset,order_comment,BNB,BUSD
545343357,2021-05-06 10:45:00,652.14000000,SELL,0.01730000,11.28236800,FILLED,1.297e-05,BNB,BNBBUSD:652.21 22.578974519999974|0.0173 823.95823331,1.24601975,801.37925879
547359195,2021-05-07 02:30:25,620.46000000,BUY,0.03170000,19.66858200,NEW,0,BUSD,BNBBUSD:620.66 39.30620190000002|0.0317 773.35542489,1.27772105,792.99304479
548386966,2021-05-07 10:11:00,<class 'system.symbol.symbol'>,630.06000000,SELL,0.01910000,12.03414600,NEW,0,BUSD,BNBBUSD:630.06 12.04787997|0.0191 [1598.03396955],1.25862105,805.02719079
548386966,2021-05-07 10:11:00,<class 'system.symbol.symbol'>,630.06000000,SELL,0.01910000,12.03414600,NEW,0,BUSD,BNBBUSD:630.06 12.04787997|0.0191 [1598.03396955],1.25862105,805.02719079
